age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration_mins,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,5.0,8.116666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,1.0
39.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,5.0,5.766666667,999.0,0.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1.0
25.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,6.0,3.0,3.783333333,999.0,0.0,0.0,1.4,94.465,-41.8,4.962,5228.1,1.0
38.0,5.0,2.0,3.0,1.0,0.0,0.0,2.0,6.0,5.0,0.283333333,999.0,0.0,0.0,1.4,94.465,-41.8,4.959,5228.1,1.0
47.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,11.0,1.0,0.966666667,999.0,0.0,0.0,-0.1,93.2,-42.0,4.191,5195.8,1.0
32.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,9.0,4.0,2.133333333,999.0,2.0,1.0,-1.1,94.199,-37.5,0.884,4963.6,1.0
32.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,9.0,1.0,4.833333333,999.0,0.0,0.0,-1.1,94.199,-37.5,0.879,4963.6,1.0
41.0,7.0,2.0,5.0,0.0,2.0,1.0,1.0,11.0,1.0,0.733333333,999.0,0.0,0.0,-0.1,93.2,-42.0,4.191,5195.8,1.0
31.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,11.0,2.0,1.133333333,999.0,1.0,1.0,-0.1,93.2,-42.0,4.153,5195.8,1.0
35.0,3.0,2.0,3.0,0.0,1.0,1.0,2.0,5.0,4.0,2.833333333,999.0,0.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1.0
25.0,5.0,1.0,2.0,0.0,2.0,1.0,1.0,7.0,4.0,5.016666667,999.0,0.0,0.0,1.4,93.918,-42.7,4.958,5228.1,1.0
36.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,2.466666667,999.0,0.0,0.0,1.4,93.918,-42.7,4.968,5228.1,1.0
36.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,3.0,1.616666667,999.0,0.0,0.0,1.1,93.994,-36.4,4.859,5191.0,1.0
47.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,6.0,4.0,3.516666667,999.0,0.0,0.0,1.4,94.465,-41.8,4.958,5228.1,1.0
29.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,9.216666667,999.0,0.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,1.0
27.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,7.0,3.0,11.63333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.963,5228.1,1.0
44.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,7.0,3.0,3.183333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.957,5228.1,1.0
46.0,4.0,3.0,5.0,1.0,2.0,1.0,2.0,7.0,1.0,0.983333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.962,5228.1,1.0
45.0,7.0,2.0,5.0,0.0,2.0,2.0,1.0,8.0,1.0,0.633333333,999.0,0.0,0.0,1.4,93.444,-36.1,4.965,5228.1,1.0
50.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,2.0,14.15,999.0,0.0,0.0,1.4,93.918,-42.7,4.961,5228.1,2.0
55.0,5.0,2.0,2.0,0.0,2.0,1.0,1.0,7.0,2.0,5.433333333,999.0,0.0,0.0,1.4,93.918,-42.7,4.962,5228.1,1.0
39.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.7,12.0,2.0,2.0,-1.8,93.369,-34.8,0.639,5008.7,2.0
29.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,8.0,3.0,10.43333333,999.0,0.0,0.0,1.4,93.444,-36.1,4.967,5228.1,1.0
40.0,8.0,2.0,4.0,1.0,1.0,2.0,1.0,8.0,3.0,1.983333333,999.0,0.0,0.0,1.4,93.444,-36.1,4.965,5228.1,1.0
44.0,5.0,2.0,5.0,0.0,2.0,1.0,2.0,5.0,5.0,6.466666667,999.0,0.0,0.0,1.1,93.994,-36.4,4.864,5191.0,1.0
38.0,5.0,2.0,5.0,1.0,2.0,1.0,1.0,8.0,1.0,7.983333333,999.0,0.0,0.0,1.4,93.444,-36.1,4.965,5228.1,2.0
36.0,5.0,3.0,5.0,1.0,1.0,1.0,2.0,5.0,3.0,7.433333333,999.0,0.0,0.0,1.1,93.994,-36.4,4.856,5191.0,1.0
28.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,1.133333333,999.0,1.0,1.0,-1.8,92.893,-46.2,1.299,5099.1,1.0
47.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,4.0,2.116666667,999.0,0.0,0.0,1.1,93.994,-36.4,4.86,5191.0,1.0
34.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,8.0,2.0,1.816666667,999.0,0.0,0.0,1.4,93.444,-36.1,4.963,5228.1,1.0
